iPad 2 Wi-Fi,iPad2,1
iPad 2 GSM,iPad2,2
iPad 2 CDMA,iPad2,3
iPad 2 New,iPad2,4
iPad 3 Wi-Fi,iPad3,1
iPad 3 CDMA,iPad3,2
iPad 3 GSM,iPad3,3
iPad Mini Wi-Fi,iPad2,5
iPad Mini GSM,iPad2,6
iPad Mini CDMA,iPad2,7
iPad 4 Wi-Fi,iPad3,4
iPad 4 GSM,iPad3,5
iPad 4 GSM_CDMA,iPad3,6
iPad Air Wi-Fi,iPad4,1
iPad Air Cellular,iPad4,2
iPad Mini 2 Wi-Fi,iPad4,4
iPad Mini 2 Cellular,iPad4,5
iPad Air China,iPad4,3
iPad Mini 2 China,iPad4,6
iPad Mini 3 Wi-Fi,iPad4,7
iPad Mini 3 Cellular,iPad4,8
iPad Mini 3 China,iPad4,9
iPad Air 2 Wi-Fi,iPad5,3
iPad Air 2 Cellular,iPad5,4
iPad Mini 4 Wi-Fi,iPad5,1
iPad Mini 4 Cellular,iPad5,2
iPad Pro Wi-Fi,iPad6,7
iPad Pro Cellular,iPad6,8
